null;Alto de Pinheiros;30
null;Jardim Atibaia;30
null;Vila Beatriz;30
null;Sitio Boa Vista;30
null;Boaçava;30
null;Jardim Califórnia;30
null;Vila Ida;30
null;Jardim dos Jacarandas;30
null;Vila Jatai;30
null;Jardim Lígia;30
null;Vila Madalena;30
null;Vila Nogueira;30
null;Parque Rebouças;30
null;Santa Boa Vista;30
null;Jardim Santa Lúcia;30
null;Parque Vila Lobos;30
null;BARRA FUNDA;30
null;Água Branca;30
null;Vila Barra Funda;30
null;Vila Chalot;30
null;Vila dos Ferroviários;30
null;Parque Industrial Tomas Edson;30
null;BUTANTÃ;30
null;Jardim Ademar de Barros;30
null;Cidade Bandeirantes;30
null;Cidade dos Bandeirantes;30
null;Jardim Bonfiglioli;30
null;Conjunto Residencial Butantã;30
null;Caxingui;30
null;Jardim Caxingui;30
null;Jardim Centenário;30
null;Jardim Christie;30
null;Jardim Educandário;30
null;Jardim Esmeralda;30
null;Vila Gomes;30
null;Vila Indiana;30
null;Inocoop;30
null;Jardim Matarazzo;30
null;Jardim Peri-Peri;30
null;Jardim Pinheiros;30
null;Vila Pirajussara;30
null;Jardim Instituto Previdência;30
null;Jardim Rizzo;30
null;Jardim Rolinópolis;30
null;Jardim São Gilberto;30
null;Cidade Universitária;30
null;ITAIM-BIBI;30
null;Jardim Das Acácias;30
null;Brooklin;30
null;Brooklin Novo;30
null;Brooklin Paulista;30
null;Vila Cordeiro;30
null;Jardim Edith;30
null;Vila Funchal;30
null;Vila Gertrudes;30
null;Ibirapuera;30
null;Itaim Bibi;30
null;Chácara Itaim;30
null;Cidade Monções;30
null;Vila Olímpia;30
null;JAGUARA;30
null;Parque Anhanguera;30
null;Vila Aparecida Ivone;30
null;Jardim Belaura;30
null;Jardim Cimobil;30
null;Vila Eleonora;30
null;Vila Jaguara;30
null;Jardim Marisa;30
null;Vila Nilva;30
null;Jardim Piauí;30
null;Vila Piauí;30
null;Vila Remédios;30
null;Vila Santa Edwiges;30
null;Chácara São Joao;30
null;Vila Varanda;30
null;Jardim Vieira;30
null;JAGUARÉ;30
null;Conjunto Butantã;30
null;Parque Continental;30
null;Vila Graziella;30
null;Centro Industrial Jaguaré;30
null;Vila Jaguaré;30
null;Vila Lageado;30
null;JARDIM PAULISTA;30
null;Jardim América;30
null;Cerqueira Cesar;30
null;Vila Primavera;30
null;LAPA;30
null;Alto da Lapa;30
null;Vila Anastácio;30
